Month,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,DepTimeM,DepTimeCategorical,UniqueCarrier_OriginDest,UniqueCarrier_Origin,target
c-5,c-4,1347,AA,ORD,SEA,1721,27,22,AA_ORD_SEA,AA_ORD,1
c-12,c-3,1241,AS,SAN,SFO,447,41,20,AS_SAN_SFO,AS_SAN,0
c-5,c-2,1157,UA,PIT,ORD,412,17,19,UA_PIT_ORD,UA_PIT,0
c-3,c-3,825,OO,BZN,DEN,525,45,13,OO_BZN_DEN,OO_BZN,1
c-9,c-1,1208,MQ,LGA,DTW,501,8,20,MQ_LGA_DTW,MQ_LGA,0
c-12,c-7,450,MQ,DFW,AMA,313,30,7,MQ_DFW_AMA,MQ_DFW,0
c-10,c-6,435,EV,HSV,CVG,325,15,7,EV_HSV_CVG,EV_HSV,0
c-7,c-4,518,MQ,DFW,HSV,603,38,8,MQ_DFW_HSV,MQ_DFW,0
c-10,c-2,1040,WN,AUS,DAL,189,20,17,WN_AUS_DAL,WN_AUS,0
c-5,c-6,895,EV,MDT,ATL,619,55,14,EV_MDT_ATL,EV_MDT,1
c-3,c-3,575,XE,IAH,DAL,217,35,9,XE_IAH_DAL,XE_IAH,0
c-4,c-3,1267,NW,MSP,GTF,887,7,21,NW_MSP_GTF,NW_MSP,0
c-10,c-4,1257,FL,PHL,FLL,992,57,20,FL_PHL_FLL,FL_PHL,1
c-5,c-4,1215,WN,SLC,PDX,630,15,20,WN_SLC_PDX,WN_SLC,0
c-6,c-4,610,AS,PHX,PDX,1009,10,10,AS_PHX_PDX,AS_PHX,0
c-12,c-7,860,MQ,COS,ORD,911,20,14,MQ_COS_ORD,MQ_COS,0
c-12,c-5,707,WN,SNA,PHX,338,47,11,WN_SNA_PHX,WN_SNA,0
c-4,c-4,463,OH,CVG,ORF,485,43,7,OH_CVG_ORF,OH_CVG,0
c-8,c-1,1407,CO,SFO,CLE,2161,27,23,CO_SFO_CLE,CO_SFO,0
c-11,c-6,544,OO,SJC,LAX,308,4,9,OO_SJC_LAX,OO_SJC,0
